"","name","street","city"
"217","Wendy's","6143 Walnut Grove Rd","Memphis, TN, 38120"
"218","Mollie Fontaine Lounge","679 Adams Avenue","Memphis, TN, 38105"
"219","McDonald's","1325 Ridgeway Rd","Memphis, TN, 38119"
"220","Starbucks Coffee","7945 Winchester Rd","Memphis, TN, 38125"
"221","The Little Tea Shop","69 Monroe Avenue","Memphis, TN, 38103"
"222","Starbucks Coffee","1850 Union Ave","Memphis, TN, 38104"
"223","McDonald's","3120 South 3rd Street","Memphis, TN, 38109"
"224","Memphis Pizza Cafe","2087 Madison Ave","Memphis, TN, 38104"
"225","Panera Bread","5865 Poplar Avenue (US Highway 72)","Memphis, TN, 38119"
"226","Starbucks Coffee","3388 Poplar Ave","Memphis, TN, 38111"
"227","Taco Bell","3490 Elvis Presley Blvd","Memphis, TN, 38116"
"228","Terrace Grill","50 Harbor Town Square","Memphis, TN, 38103"
"229","Taco Bell","6720 Stage Rd","Memphis, TN, 38134"
"230","Local Gastro Pub Madison","2126 Madison Ave","Memphis, TN, 38104"
"231","Starbucks","7697 Winchester Road","Memphis, TN, 38125"
"232","Starbucks Coffee","6161 Poplar Ave","Memphis, TN, 38119"
"233","Huey's","1910 Madison Avenue","Memphis, TN, 38104"
"234","Chick-fil-A","1980 Union Ave","Memphis, TN, 38104"
"235","Denny's","7065 Winchester Rd","Memphis, TN, 38125"
"236","Panera Bread","4530 Poplar Ave","Memphis, TN, 38117"
"237","Asian Star","6158 Stage Rd","Memphis, TN, 38134"
"238","Taco Bell","1662 Poplar Ave","Memphis, TN, 38104"
"239","Cafe 1912","243 S Cooper St","Memphis, TN, 38104"
"240","Taco Bell","7571 US Highway 70","Memphis, TN, 38133"
"241","Taco Bell","8033 Hwy 64","Memphis, TN, 38133"
"242","Taco Bell","1983 Whitten Rd","Memphis, TN, 38133"
"243","Taco Bell","3045 Covington Pike","Memphis, TN, 38128"
"244","Taco Bell","4370 Summer Ave","Memphis, TN, 38122"
"245","Taco Bell","3233 Thomas St","Memphis, TN, 38127"
"246","TGI Fridays","185 Union Ave","Memphis, TN, 38103"
